flat_index,row,subject_id,sleep_date,lifelog_date,target,target_index,h057_prob,q061,cell_q061_gain,public_score,invariant_score,private_safe_score,latent_shortcut_energy,bad_pressure_rank,h068_cell_health,outside_h069_cell,outside_h070_cell,is_h050_null,source_count,source_weight,source_family_count,source_consensus,source_mean_move,source_action_delta,source_posterior_delta,hit_h071,hit_h074,hit_h076,hit_h079,h080_bad_same_raw,h080_bad_opp_raw,h080_bad_same_rank,h080_bad_opp_rank,h080_bad_margin_rank,h079_cell,h079_row,h079_role,h080_cell_score,h085_q,h085_q_move,h085_q_gain,h085_abs_q_move,h082_cell,h084_dark_cell,source_agrees_h085,h085_cell_score,candidate_spec,h085_applied_alpha,h085_unit,candidate_id
14,2,id01,2024-08-02,2024-08-01,Q1,0,0.1032837510399468,0.1001592175335198,5.318279986127328e-05,0.5538514285714286,0.7792171428571428,0.6477150285714286,0.2300714285714285,0.1785714285714285,0.4756925714285714,1.0,1.0,0,8.0,7.62151992583664,2.0,1.0,-0.0348330128360837,-2.010323864050516e-07,-5.310231736729903e-05,1.0,0.0,1.0,0.0,0.0,0.1897430513321884,0.1785714285714285,0.7451428571428571,0.748,0.0,0.0,,0.70988,0.10009602831586892,-0.03489863750688027,5.041529235921827e-05,0.03489863750688027,1.0,0.0,1.0,0.49722462857142863,eqv2_rowproto_all_r96_a055,0.55,row,h085_eqv2_rowproto_all_r96_a055_2494024f
15,2,id01,2024-08-02,2024-08-01,Q2,1,0.536621580933206,0.5558458654282564,0.0007447249253993,0.7797599999999999,0.7792171428571428,0.661777657142857,0.2511571428571429,0.1785714285714285,0.3937283428571428,1.0,0.0,0,7.0,6.690561435404001,2.0,1.0,0.0786817908658617,-2.6445273777210427e-06,-0.0007436821906531,1.0,0.0,1.0,0.0,0.0,0.0290471660734689,0.1785714285714285,0.3657142857142857,0.436,0.0,0.0,,0.7286628571428571,0.5558481765378928,0.07757962942733104,0.0006779832326698765,0.07757962942733104,1.0,0.0,1.0,0.653278457142857,eqv2_rowproto_all_r96_a055,0.55,row,h085_eqv2_rowproto_all_r96_a055_2494024f
16,2,id01,2024-08-02,2024-08-01,Q3,2,0.5682112561937659,0.5616751943609942,8.69577392894616e-05,0.4468971428571429,0.7792171428571428,0.2867239714285714,0.7020857142857143,0.8725714285714286,0.4364517142857143,1.0,1.0,0,6.0,5.71228967627096,1.0,1.0,-0.026593293919569,-2.6940841888150337e-08,-8.695773928946161e-05,1.0,0.0,0.0,0.0,0.137130550658279,0.0057229714181775,0.8594285714285714,0.212,0.1788571428571428,0.0,0.0,,0.4403914285714285,0.561709162297335,-0.02645532172695425,7.830555159316077e-05,0.02645532172695425,1.0,0.0,1.0,0.33802057142857145,eqv2_rowproto_all_r96_a055,0.55,row,h085_eqv2_rowproto_all_r96_a055_2494024f
17,2,id01,2024-08-02,2024-08-01,S1,3,0.2518576456277656,0.2450768042172474,0.0001227486531213,0.5332971428571429,0.7792171428571428,0.6391682857142857,0.2037571428571428,0.1785714285714285,0.5183406857142857,1.0,1.0,0,20.0,17.09019982354792,3.0,1.0,-0.0373312223371587,-1.0921241928322861e-07,-0.0001223194961216,1.0,1.0,1.0,0.0,0.0,0.324642745011412,0.1785714285714285,0.872,0.8737142857142857,0.0,0.0,,0.7461514285714285,0.24499533860563602,-0.036755495392641224,0.00011445882552540976,0.036755495392641224,1.0,0.0,1.0,0.5380582857142857,eqv2_rowproto_all_r96_a055,0.55,row,h085_eqv2_rowproto_all_r96_a055_2494024f
18,2,id01,2024-08-02,2024-08-01,S2,4,0.4522512987540221,0.4449546457295745,0.0001075670855377,0.5118742857142857,0.7792171428571428,0.6286654285714286,0.1671,0.1785714285714285,0.5148900000000001,1.0,1.0,0,21.0,18.02115831398056,3.0,1.0,-0.0303565763062421,-6.394013584017926e-08,-0.0001071949447979,1.0,1.0,1.0,0.0,0.0,0.1349898069008405,0.1785714285714285,0.6434285714285715,0.6571428571428571,0.0,0.0,,0.7262485714285716,0.44490626651808124,-0.029694754332296458,9.919621475751317e-05,0.029694754332296458,1.0,0.0,1.0,0.5264904571428572,eqv2_rowproto_all_r96_a055,0.55,row,h085_eqv2_rowproto_all_r96_a055_2494024f
19,2,id01,2024-08-02,2024-08-01,S3,5,0.8949298069616637,0.9238245894751468,0.0048590636056385,0.7982857142857144,0.7792171428571428,0.7750060000000001,0.0334714285714285,0.1785714285714285,0.8156345142857143,0.0,0.0,0,21.0,18.02115831398056,3.0,1.0,0.3636414151437421,-1.259540735479484e-06,-0.0048440330571184,1.0,1.0,1.0,0.0,0.0,0.7295960136088543,0.1785714285714285,0.9588571428571429,0.9588571428571429,0.0,0.0,,0.8786828571428572,0.9240185026173097,0.35612558547458173,0.004514841785276669,0.35612558547458173,1.0,0.0,1.0,0.7976782285714286,eqv2_rowproto_all_r96_a055,0.55,row,h085_eqv2_rowproto_all_r96_a055_2494024f
20,2,id01,2024-08-02,2024-08-01,S4,6,0.4013011799248306,0.357790335207552,0.0039931377581028,0.8997200000000001,0.7792171428571428,0.8234153714285715,0.0468428571428571,0.1785714285714285,0.8275347428571428,1.0,0.0,0,21.0,18.02115831398056,3.0,1.0,-0.1902980310277415,-3.202930044517123e-06,-0.0039795598290607,1.0,1.0,1.0,0.0,0.0,0.1648598208886935,0.1785714285714285,0.7028571428571428,0.7062857142857143,0.0,0.0,,0.9276428571428572,0.35774209335187696,-0.1851311800290963,0.0036458669388395037,0.1851311800290963,1.0,0.0,1.0,0.8305246857142857,eqv2_rowproto_all_r96_a055,0.55,row,h085_eqv2_rowproto_all_r96_a055_2494024f
98,14,id01,2024-09-02,2024-09-01,Q1,0,0.2549100024552317,0.2339149510270465,0.0011824273152645,0.6630285714285714,0.6055571428571429,0.6233344571428572,0.1245857142857142,0.1785714285714285,0.5551332571428572,1.0,0.0,0,21.0,18.02115831398056,3.0,1.0,-0.117823805228537,-1.018017881927672e-06,-0.001174121733423,1.0,1.0,1.0,0.0,0.0,0.2476219067508637,0.1785714285714285,0.8188571428571428,0.8188571428571428,0.0,0.0,,0.8175057142857144,0.23384924340986538,-0.11410784990259115,0.0010842993019726244,0.11410784990259115,1.0,0.0,1.0,0.6904847142857142,eqv2_rowproto_all_r96_a055,0.55,row,h085_eqv2_rowproto_all_r96_a055_2494024f
99,14,id01,2024-09-02,2024-09-01,Q2,1,0.5814373972533974,0.5692756840747311,0.0003030851989738,0.4703714285714286,0.6055571428571429,0.3037570285714285,0.4985428571428571,0.5182857142857142,0.2508555428571428,1.0,1.0,0,6.0,5.71228967627096,1.0,1.0,-0.049780265822212,-4.4367384429738916e-07,-0.0003030851989738,1.0,0.0,0.0,0.0,0.0134388345838014,0.0518598018308301,0.5302857142857142,0.4565714285714286,0.4622857142857143,0.0,0.0,,0.4786771428571428,0.5692712871473835,-0.04979819773947458,0.0002759602892941082,0.04979819773947458,1.0,0.0,1.0,0.44794785714285723,eqv2_rowproto_all_r96_a055,0.55,row,h085_eqv2_rowproto_all_r96_a055_2494024f
100,14,id01,2024-09-02,2024-09-01,Q3,2,0.5883167242663031,0.5607349584951048,0.0015608845141726,0.7134057142857144,0.6055571428571429,0.4156904000000001,0.5136857142857143,0.8051428571428572,0.6046125714285715,0.0,1.0,0,17.0,15.930570287203524,3.0,1.0,-0.1136578090878483,-1.430178565193712e-06,-0.0015379564517333,1.0,1.0,1.0,0.0,0.0722241038494731,0.0189757063308615,0.7731428571428571,0.3148571428571428,0.1788571428571428,0.0,0.0,,0.6212057142857142,0.5607421707991815,-0.11283648374225927,0.001419148590124708,0.11283648374225927,1.0,0.0,1.0,0.5560994571428572,eqv2_rowproto_all_r96_a055,0.55,row,h085_eqv2_rowproto_all_r96_a055_2494024f
