flat_index,row,subject_id,sleep_date,lifelog_date,target,target_index,h057_prob,q061,cell_q061_gain,public_score,invariant_score,private_safe_score,latent_shortcut_energy,bad_pressure_rank,h068_cell_health,outside_h069_cell,outside_h070_cell,is_h050_null,source_count,source_weight,source_family_count,source_consensus,source_mean_move,source_action_delta,source_posterior_delta,hit_h071,hit_h074,hit_h076,hit_h079,h080_bad_same_raw,h080_bad_opp_raw,h080_bad_same_rank,h080_bad_opp_rank,h080_bad_margin_rank,h079_cell,h079_row,h079_role,h080_cell_score,h085_q,h085_q_move,h085_q_gain,h085_abs_q_move,h082_cell,h084_dark_cell,source_agrees_h085,h085_cell_score,candidate_spec,h085_applied_alpha,h085_unit,candidate_id
15,2,id01,2024-08-02,2024-08-01,Q2,1,0.536621580933206,0.5558458654282564,0.0007447249253993,0.7797599999999999,0.7792171428571428,0.661777657142857,0.2511571428571429,0.1785714285714285,0.3937283428571428,1.0,0.0,0,7.0,6.690561435404001,2.0,1.0,0.0786817908658617,-2.6445273777210427e-06,-0.0007436821906531,1.0,0.0,1.0,0.0,0.0,0.0290471660734689,0.1785714285714285,0.3657142857142857,0.436,0.0,0.0,,0.7286628571428571,0.5558481765378928,0.07757962942733104,0.0006779832326698765,0.07757962942733104,1.0,0.0,1.0,0.653278457142857,eqv2_cell_sourceagree_c900_a075,0.75,cell,h085_eqv2_cell_sourceagree_c900_a075_f154e2bb
19,2,id01,2024-08-02,2024-08-01,S3,5,0.8949298069616637,0.9238245894751468,0.0048590636056385,0.7982857142857144,0.7792171428571428,0.7750060000000001,0.0334714285714285,0.1785714285714285,0.8156345142857143,0.0,0.0,0,21.0,18.02115831398056,3.0,1.0,0.3636414151437421,-1.259540735479484e-06,-0.0048440330571184,1.0,1.0,1.0,0.0,0.0,0.7295960136088543,0.1785714285714285,0.9588571428571429,0.9588571428571429,0.0,0.0,,0.8786828571428572,0.9240185026173097,0.35612558547458173,0.004514841785276669,0.35612558547458173,1.0,0.0,1.0,0.7976782285714286,eqv2_cell_sourceagree_c900_a075,0.75,cell,h085_eqv2_cell_sourceagree_c900_a075_f154e2bb
20,2,id01,2024-08-02,2024-08-01,S4,6,0.4013011799248306,0.357790335207552,0.0039931377581028,0.8997200000000001,0.7792171428571428,0.8234153714285715,0.0468428571428571,0.1785714285714285,0.8275347428571428,1.0,0.0,0,21.0,18.02115831398056,3.0,1.0,-0.1902980310277415,-3.202930044517123e-06,-0.0039795598290607,1.0,1.0,1.0,0.0,0.0,0.1648598208886935,0.1785714285714285,0.7028571428571428,0.7062857142857143,0.0,0.0,,0.9276428571428572,0.35774209335187696,-0.1851311800290963,0.0036458669388395037,0.1851311800290963,1.0,0.0,1.0,0.8305246857142857,eqv2_cell_sourceagree_c900_a075,0.75,cell,h085_eqv2_cell_sourceagree_c900_a075_f154e2bb
22,3,id01,2024-08-03,2024-08-02,Q2,1,0.6600442750657125,0.6987517935481184,0.0034057974680021,0.7777542857142857,0.6052171428571428,0.5814727428571428,0.1850714285714285,0.1785714285714285,0.385413257142857,1.0,0.0,0,18.0,18.26614025081224,4.0,1.0,0.1541602662756384,-2.7266674632530845e-06,-0.0028701524006941,1.0,1.0,1.0,1.0,0.0,0.2353612239766102,0.1785714285714285,0.804,0.8051428571428572,1.0,1.0,episode_neighbor_q061,0.8055428571428571,0.6988136652020339,0.17816347975515678,0.0031140612614525276,0.17816347975515678,1.0,0.0,1.0,0.7854091428571428,eqv2_cell_sourceagree_c900_a075,0.75,cell,h085_eqv2_cell_sourceagree_c900_a075_f154e2bb
32,4,id01,2024-08-04,2024-08-03,S2,4,0.6868186532777408,0.71704153215778,0.002163031354237,0.6399714285714286,0.5410571428571428,0.5829477142857142,0.0787571428571428,0.1785714285714285,0.5993640000000001,1.0,0.0,0,24.0,24.19364581610774,4.0,1.0,0.1237269848707736,-9.648289735827902e-07,-0.0019566306604438,1.0,1.0,1.0,1.0,0.0,0.312811193854403,0.1785714285714285,0.8651428571428571,0.8662857142857143,1.0,1.0,seed_q061_companion,0.8395085714285716,0.7171304474530785,0.1449840297347057,0.001982818469779213,0.1449840297347057,1.0,0.0,1.0,0.7385279999999999,eqv2_cell_sourceagree_c900_a075,0.75,cell,h085_eqv2_cell_sourceagree_c900_a075_f154e2bb
33,4,id01,2024-08-04,2024-08-03,S3,5,0.8598191584284451,0.8718690873858523,0.000617462769184,0.57696,0.5410571428571428,0.5491586857142856,0.1430714285714285,0.1785714285714285,0.5430116571428573,1.0,0.0,0,24.0,24.19364581610774,4.0,1.0,0.0888481015240349,-6.505105772182535e-07,-0.0005586883756165,1.0,1.0,1.0,1.0,0.0,0.2717374220893844,0.1785714285714285,0.8348571428571429,0.836,1.0,1.0,seed_q061_companion,0.7881085714285715,0.8719474995872364,0.10450010422165823,0.0005703326538893383,0.10450010422165823,1.0,0.0,1.0,0.6442565142857142,eqv2_cell_sourceagree_c900_a075,0.75,cell,h085_eqv2_cell_sourceagree_c900_a075_f154e2bb
35,5,id01,2024-08-06,2024-08-05,Q1,0,0.1250884806363739,0.0963479988481428,0.0040553539652491,0.8568685714285715,0.6886171428571428,0.7593840571428572,0.0964714285714285,0.1785714285714285,0.6987478857142857,1.0,0.0,0,20.0,21.330570287203525,4.0,1.0,-0.2334727778537345,-4.160875554438464e-06,-0.0033207582323989,1.0,1.0,1.0,1.0,0.0,0.1675932988391825,0.1785714285714285,0.7085714285714285,0.7108571428571429,1.0,1.0,episode_neighbor_q061,0.9273771428571428,0.09628686313722895,-0.2940786615479689,0.003726526373188821,0.2940786615479689,1.0,0.0,1.0,0.8337817142857143,eqv2_cell_sourceagree_c900_a075,0.75,cell,h085_eqv2_cell_sourceagree_c900_a075_f154e2bb
40,5,id01,2024-08-06,2024-08-05,S3,5,0.789998902831536,0.7686165806451899,0.0013454180836122,0.6481257142857144,0.6886171428571428,0.5528241142857142,0.2126571428571428,0.448,0.6464818285714288,1.0,0.0,0,9.0,11.02603417774264,3.0,1.0,-0.0736308559166424,-4.123658560273961e-07,-0.0008853544511278,1.0,1.0,0.0,1.0,0.0047269999050729,0.0865481861072869,0.4342857142857143,0.5371428571428571,0.5514285714285714,1.0,1.0,episode_neighbor_q061,0.7418742857142857,0.7686001909756162,-0.12449486417501365,0.0012242433691996846,0.12449486417501365,1.0,0.0,1.0,0.6690965714285715,eqv2_cell_sourceagree_c900_a075,0.75,cell,h085_eqv2_cell_sourceagree_c900_a075_f154e2bb
46,6,id01,2024-08-07,2024-08-06,S2,4,0.5542707137333157,0.5079000114409025,0.0043286808494996,0.8142285714285714,0.6720971428571428,0.7310633714285715,0.0538428571428571,0.1785714285714285,0.76602,1.0,0.0,0,17.0,15.930570287203524,3.0,1.0,-0.187477432001766,-2.322773919911558e-06,-0.0043027997627339,1.0,1.0,1.0,0.0,0.0,0.2438201576419227,0.1785714285714285,0.8154285714285714,0.8154285714285714,0.0,0.0,,0.9092485714285714,0.5078272914659794,-0.1866297102324106,0.003950658745651481,0.1866297102324106,1.0,0.0,1.0,0.806968057142857,eqv2_cell_sourceagree_c900_a075,0.75,cell,h085_eqv2_cell_sourceagree_c900_a075_f154e2bb
59,8,id01,2024-08-10,2024-08-09,S1,3,0.7833614458734801,0.7645589762848545,0.0010207974685764,0.7040685714285715,0.695977142857143,0.5765938857142858,0.2314571428571428,0.5125714285714286,0.6205679999999999,1.0,0.0,0,8.0,7.454869048437761,2.0,1.0,-0.1075251765693907,-1.5040238684790891e-06,-0.0010207974685764,1.0,1.0,0.0,0.0,0.0085483795919828,0.0373831183545963,0.4828571428571429,0.4022857142857143,0.4354285714285714,0.0,0.0,,0.7372142857142857,0.764555277920156,-0.10754572195257395,0.0009280381920712122,0.10754572195257395,1.0,0.0,1.0,0.6291573714285715,eqv2_cell_sourceagree_c900_a075,0.75,cell,h085_eqv2_cell_sourceagree_c900_a075_f154e2bb
