flat_idx,row,target,sign,decoded_logit_move,responsibility_score,selection_score,source_consensus_rank,listener_benefit_rank,human_state_responsibility,h088_safe_rank,source_support,source_move_abs_mean,sign_margin,teacher_has_action,teacher_sign_match,teacher_logit_move
687,98,Q2,-1,-1.75,0.8389761636021084,0.9935110081112397,0.9679113924050633,0.8358400460299196,0.6398519362186788,0.9234752589182968,9.0,0.2878860784523284,0.8389761636021084,True,True,-0.6380762463889581
638,91,Q2,-1,-1.75,0.7835068575016991,0.9826187717265353,0.925132336018412,0.8995224395857309,0.3563211845102506,0.9234752589182968,8.0,0.18529568664393703,0.7835068575016991,True,True,-0.6422547847011687
309,44,Q2,-1,-1.75,0.7802247467652351,0.9812282734646581,0.9426409666283083,0.6546375143843498,0.6892938496583144,0.9234752589182968,9.0,0.18316022258607428,0.7802247467652351,True,True,-0.7869065731646545
1177,168,Q2,-1,-1.7325812480337488,0.7273165913296548,0.9805330243337196,0.903970080552359,0.6568584579976986,0.507369020501139,0.9234752589182968,7.0,0.27955178211631837,0.7273165913296548,True,True,-0.6684366948237217
1359,194,Q2,-1,-1.7499609788569248,0.763486117177776,0.9790266512166859,0.8861219792865362,0.6691944764096662,0.7158542141230068,0.9234752589182968,7.0,0.17420631635727088,0.763486117177776,True,True,-0.48283568245776043
1042,148,S4,1,1.7190218729432565,0.7225089896951992,0.9767091541135573,0.955759493670886,0.7467318757192175,0.2146355353075171,0.9234752589182968,9.0,0.25830888172111455,0.7225089896951992,True,True,0.21700204460454398
1278,182,S2,1,1.75,0.8110588811762113,0.9750869061413674,0.8616455696202532,0.9141714614499423,0.6264692482915719,0.9234752589182968,7.0,0.13843929257741847,0.8110588811762113,False,False,0.0
1522,217,S1,-1,-1.7071578368467528,0.7274065424274788,0.974739281575898,0.8660644418872266,0.7253107019562715,0.8361731207289294,0.663981588032221,8.0,0.18773806505647161,0.7274065424274788,False,False,0.0
1107,158,Q2,-1,-1.7046354951719687,0.7393589499561498,0.9736964078794901,0.9060759493670886,0.8133544303797469,0.3136446469248292,0.9234752589182968,8.0,0.15981028729027208,0.7393589499561498,True,True,-0.7011555505880882
71,10,Q2,-1,-1.698328153726635,0.7287750595144068,0.972885283893395,0.9324223245109321,0.6728883774453395,0.42091116173120724,0.9234752589182968,9.0,0.1686031032126793,0.7287750595144068,True,True,-0.6198789591592779
1037,148,Q2,1,1.693305785041681,0.6899355639153103,0.9727694090382387,0.9709493670886076,0.6183256616800921,0.21667425968109338,0.9234752589182968,9.0,1.350617328699465,0.6899355639153103,True,True,0.4033936534267981
771,110,Q2,-1,-1.688991254318549,0.7224790889691344,0.9677867902665122,0.8569447640966628,0.7386651323360185,0.4645444191343963,0.9234752589182968,6.0,0.16901411286420162,0.7224790889691344,True,True,-0.8164618825223382
190,27,Q2,-1,-1.6868508937917752,0.7528812206397997,0.9651216685979142,0.8740736478711161,0.7142002301495972,0.6184054669703872,0.9234752589182968,8.0,0.128957985151616,0.7528812206397997,True,True,-0.9205827069099282
547,78,Q2,1,1.6527973960898732,0.6705909428023402,0.9640787949015064,0.9349482163406213,0.4299194476409667,0.505375854214123,0.9234752589182968,10.0,0.2825775022370368,0.6705909428023402,False,False,0.0
715,102,Q2,-1,-1.7346522256750285,0.8037299946364709,0.9634994206257241,0.8600575373993096,0.9800632911392405,0.48728929384965836,0.9234752589182968,8.0,0.11070914878803197,0.8037299946364709,True,True,-1.8999999999999997
1061,151,S2,1,1.6442392303867857,0.6946733254195679,0.9600231749710314,0.9003452243958574,0.5122094361334868,0.5801936218678816,0.9234752589182968,8.0,0.1633055903109622,0.6946733254195679,True,True,0.21766861311691166
1209,172,S3,1,1.646864593716768,0.7296586948580011,0.9599073001158748,0.8589182968929805,0.7322094361334868,0.5069362186788156,0.9234752589182968,8.0,0.12347037664451806,0.7296586948580011,False,False,0.0
1044,149,Q2,1,1.6366458252507372,0.6760644336983168,0.9597914252607185,0.9437859608745685,0.6049827387802073,0.23211845102505696,0.9234752589182968,10.0,0.19107418593882847,0.6760644336983168,True,True,0.7313297859314394
1279,182,S3,1,1.6373868985317657,0.724041340791245,0.9555040556199305,0.8119965477560415,0.7647295742232452,0.5387243735763099,0.9234752589182968,6.0,0.12327458598193597,0.724041340791245,True,True,1.8999999999999986
390,55,S3,1,1.6150459140610798,0.6687288549747537,0.9537659327925839,0.78807249712313,0.6885385500575374,0.6806947608200455,0.7192174913693901,6.0,0.17248098609822363,0.6687288549747537,False,False,0.0
351,50,Q2,-1,-1.6282570583499831,0.7114204624913443,0.9527230590961762,0.8757307249712313,0.6324280782508631,0.532756264236902,0.9234752589182968,8.0,0.1291606823853018,0.7114204624913443,True,True,-0.9482045788409167
1065,152,Q2,1,1.5889198062106094,0.625431300264456,0.9438006952491309,0.7372036823935558,0.4499079401611047,0.7165148063781321,0.9234752589182968,2.0,0.30591526378848694,0.625431300264456,True,True,0.4211447977253776
393,56,Q2,-1,-1.5708654304416352,0.7020011507612346,0.9389339513325609,0.7940103567318757,0.6280092059838895,0.6876765375854215,0.9234752589182968,6.0,0.09935523854004447,0.7020011507612346,True,True,-1.0250412777182194
1285,183,S2,1,1.5492338965971164,0.6401418224184806,0.9377752027809965,0.898837744533947,0.9445512082853855,0.6480637813211847,0.19217491369390105,10.0,0.14331161816013707,0.6401418224184806,False,False,0.0
946,135,Q2,1,1.5629918950100035,0.6092205949833462,0.9339513325608342,0.7785212888377445,0.3785270425776755,0.6484738041002278,0.9234752589182968,5.0,0.28594645904132343,0.6092205949833462,True,True,0.6459631214545031
1149,164,Q2,-1,-1.5456393904406616,0.6192035436605942,0.9316338354577058,0.9043153049482163,0.98114499424626,0.2775512528473804,0.283084004602992,8.0,0.17656118725690864,0.6192035436605942,False,False,0.0
722,103,Q2,-1,-1.5135058012540978,0.6299797829003195,0.9280417149478561,0.6533026467203683,0.8487514384349829,0.3030410022779043,0.9234752589182968,1.0,0.1296467726747013,0.6299797829003195,True,True,-1.0895520604314144
629,89,S4,1,1.514269967205442,0.6934955048880932,0.9250289687137891,0.8188147295742233,0.9189470655926354,0.6735649202733486,0.5120828538550057,10.0,0.0763986325183034,0.6934955048880932,False,False,0.0
