teacher,family,family_type,teacher_cells,selected_cells,overlap_cells,precision_vs_teacher,recall_vs_teacher,precision_lift_vs_base,row_recall_vs_teacher,row_precision_vs_teacher,sign_match_on_overlap,auc_vs_teacher,base_teacher_rate,selected_target_counts,teacher_target_counts,interpretation
s2hub_jackpot,fixed_objective_stage_prior,portable_adapter_prior,68,68,7,0.10294117647058823,0.10294117647058823,2.6492214532871974,0.20588235294117646,0.10294117647058823,0.8571428571428571,0.8147513464363153,0.038857142857142854,"{'Q1': 0, 'Q2': 0, 'Q3': 0, 'S1': 0, 'S2': 68, 'S3': 0, 'S4': 0}","{'Q1': 0, 'Q2': 0, 'Q3': 0, 'S1': 12, 'S2': 34, 'S3': 7, 'S4': 15}","Uses only the adapter's objective-stage route prior, not row context."
s2hub_jackpot,calendar_social_context,portable_human_context,68,68,0,0.0,0.0,0.0,0.11764705882352941,0.11764705882352941,,0.47190844233055884,0.038857142857142854,"{'Q1': 34, 'Q2': 34, 'Q3': 0, 'S1': 0, 'S2': 0, 'S3': 0, 'S4': 0}","{'Q1': 0, 'Q2': 0, 'Q3': 0, 'S1': 12, 'S2': 34, 'S3': 7, 'S4': 15}",Tests weekend/month/day rhythm as a human-social row support signal.
s2hub_jackpot,cohort_relative_context,portable_human_context,68,68,1,0.014705882352941176,0.014705882352941176,0.3784602076124568,0.08823529411764706,0.08108108108108109,0.0,0.4568615793523117,0.038857142857142854,"{'Q1': 2, 'Q2': 11, 'Q3': 4, 'S1': 17, 'S2': 20, 'S3': 14, 'S4': 0}","{'Q1': 0, 'Q2': 0, 'Q3': 0, 'S1': 12, 'S2': 34, 'S3': 7, 'S4': 15}",Tests peer/cohort outlier features as row support.
s2hub_jackpot,latent_geometry_context,portable_human_context,68,68,0,0.0,0.0,0.0,0.058823529411764705,0.058823529411764705,,0.4562408197523956,0.038857142857142854,"{'Q1': 34, 'Q2': 34, 'Q3': 0, 'S1': 0, 'S2': 0, 'S3': 0, 'S4': 0}","{'Q1': 0, 'Q2': 0, 'Q3': 0, 'S1': 12, 'S2': 34, 'S3': 7, 'S4': 15}",Tests whether human-state latent magnitude/disagreement identifies support rows.
s2hub_jackpot,peer_route_context,portable_human_context,68,68,0,0.0,0.0,0.0,0.08823529411764706,0.07692307692307693,,0.49291372315870463,0.038857142857142854,"{'Q1': 6, 'Q2': 19, 'Q3': 6, 'S1': 13, 'S2': 15, 'S3': 8, 'S4': 1}","{'Q1': 0, 'Q2': 0, 'Q3': 0, 'S1': 12, 'S2': 34, 'S3': 7, 'S4': 15}",Tests whether peer target margins and route margins localize row-target support.
s2hub_jackpot,portable_human_composite,portable_human_context,68,68,3,0.04411764705882353,0.04411764705882353,1.1353806228373704,0.08823529411764706,0.06,0.6666666666666666,0.6377168287053228,0.038857142857142854,"{'Q1': 0, 'Q2': 0, 'Q3': 0, 'S1': 9, 'S2': 50, 'S3': 0, 'S4': 9}","{'Q1': 0, 'Q2': 0, 'Q3': 0, 'S1': 12, 'S2': 34, 'S3': 7, 'S4': 15}","Combines calendar, cohort, latent, peer-route, and target prior without teacher labels."
s2hub_jackpot,distilled_cell_teacher,teacher_distilled_capacity,68,68,12,0.17647058823529413,0.17647058823529413,4.541522491349482,0.29411764705882354,0.19230769230769232,0.6666666666666666,0.7667036790935161,0.038857142857142854,"{'Q1': 0, 'Q2': 0, 'Q3': 0, 'S1': 7, 'S2': 49, 'S3': 0, 'S4': 12}","{'Q1': 0, 'Q2': 0, 'Q3': 0, 'S1': 12, 'S2': 34, 'S3': 7, 'S4': 15}","OOF teacher distillation from human-target context; capacity diagnostic, not portable deployment."
s2hub_jackpot,distilled_row_gated_teacher,teacher_distilled_capacity,68,68,11,0.16176470588235295,0.16176470588235295,4.163062283737025,0.2647058823529412,0.2,0.6363636363636364,0.7158931943764426,0.038857142857142854,"{'Q1': 0, 'Q2': 0, 'Q3': 0, 'S1': 17, 'S2': 42, 'S3': 0, 'S4': 9}","{'Q1': 0, 'Q2': 0, 'Q3': 0, 'S1': 12, 'S2': 34, 'S3': 7, 'S4': 15}",OOF teacher distillation with row support gate; capacity diagnostic.
s2hub_jackpot,listener_source_upper_bound,adapter_source_upper_bound,68,68,6,0.08823529411764706,0.08823529411764706,2.270761245674741,0.2647058823529412,0.16071428571428573,1.0,0.6222240679862908,0.038857142857142854,"{'Q1': 1, 'Q2': 25, 'Q3': 3, 'S1': 6, 'S2': 9, 'S3': 8, 'S4': 16}","{'Q1': 0, 'Q2': 0, 'Q3': 0, 'S1': 12, 'S2': 34, 'S3': 7, 'S4': 15}","Source/listener artifact upper bound; adapter-side evidence, not core-only."
s2hub_jackpot,target_oracle,oracle_decomposition,68,68,7,0.10294117647058823,0.10294117647058823,2.6492214532871974,0.20588235294117646,0.10294117647058823,0.8571428571428571,0.8147513464363153,0.038857142857142854,"{'Q1': 0, 'Q2': 0, 'Q3': 0, 'S1': 0, 'S2': 68, 'S3': 0, 'S4': 0}","{'Q1': 0, 'Q2': 0, 'Q3': 0, 'S1': 12, 'S2': 34, 'S3': 7, 'S4': 15}",Teacher target prevalence only; tests whether target route is enough.
