flat_idx,row,target,target_idx,cell_key,direction,source_families,source_family_count,source_records,mean_health,max_health,mean_local_score,max_abs_proposed_step,mean_abs_proposed_step,bad_tangent_value,bad_tangent_abs,bad_tangent_abs_rank,anti_tangent_direction,proposed_is_anti_bad,proposed_is_bad_aligned,action_health,anti_bad_score,orthogonal_score,public_loss_gradient,feature_std,release_sign,sign_stability,supported_release,support_signs,bad_tangent_dot_sign,public_gradient_abs,prototype_step,prototype_predicted_loss_delta,old_global_energy,new_global_energy,global_energy_delta,old_subject_energy,new_subject_energy,subject_energy_delta,old_combined_energy,new_combined_energy,combined_energy_delta,subject_id,abs_grad_rank,stability_rank,support_rank,invariant_good_rank,subject_good_rank,responsibility_score,target_family,anchor_coverage,base_probability,inferred_label_value,label_direction_room,bad_axis_alignment,bad_axis_abs,public_gradient_per_logit,coverage_rank,label_room_rank,gradient_rank,private_energy_rank,subject_energy_rank,anti_bad_rank,toxicity_rank,public_inclusion_score,label_direction_confidence,private_safety_score,toxicity_score,public_private_gap,tomography_score,_priority,released_logit_step,predicted_public_delta,incremental_energy_delta,incremental_subject_delta,variant
908,129,S3,5,129:S3,-1,"listener_dropout,public_loss_tomography,route_frontier,route_toxicity_fusion",4,6,0.5006904402343323,0.5429112462006078,0.2901665716323116,0.8,0.4926903564877339,0.001490044065037626,0.001490044065037626,0.5665467625899281,-1,True,False,0.6168854513210286,0.6575151999992603,0.5815780312381555,0.05167013936050022,0.13943982004797723,-1,1.0,True,-1,-0.001490044065037626,0.05167013936050022,-0.10828118608920999,-0.04012414799032796,1.2892885239257372,1.2787266568286029,-0.010561867097134359,0.07068016592381174,0.0709786060530848,0.0002984401292730615,1.3161469869767857,1.305698527128775,-0.010448459848010572,id06,0.7652173913043478,0.7217391304347827,0.9434782608695652,0.8,0.391304347826087,0.7386147156896253,S,0.8076923076923077,0.9302673749700684,0,0.9302673749700684,-0.1055472422927565,0.1055472422927565,0.3705551207877492,0.8434782608695652,0.9391304347826087,0.7652173913043478,0.8,0.391304347826087,0.7304347826086957,0.2782608695652174,0.8051304347826087,0.9255652173913043,0.740824999952163,0.3183215719284331,0.0643054348304457,0.6576700702210139,0.7218581471492423,-0.37969634843100186,-0.1406984262555172,-0.0383626654775322,0.0015785417800164847,subset_label_direction_jackpot
787,112,S1,3,112:S1,1,"listener_dropout,public_loss_tomography,route_frontier,route_toxicity_fusion",4,4,0.4524223336815679,0.5669264437689969,0.3695876324065195,0.8,0.6296569831710154,-0.0005605912810569909,0.0005605912810569909,0.18884892086330934,1,True,False,0.6120286731934972,0.4748603380947746,0.6752419437657711,-0.04748519088093565,0.11071861392511796,1,1.0,True,1,-0.0005605912810569909,0.04748519088093565,0.10096899151931968,-0.04330375593929618,2.2701151337105965,2.2138753934962594,-0.056239740214337086,0.03245572569474915,0.027304137181452675,-0.005151588513296477,2.282448309474601,2.2242509656252114,-0.05819734384938968,id05,0.7217391304347827,0.7217391304347827,0.9434782608695652,0.9826086956521739,0.991304347826087,0.7827071964066119,S,0.8076923076923077,0.2783128243770914,1,0.7216871756229086,-0.039709472462772344,0.039709472462772344,-0.42888173178406286,0.8434782608695652,0.8260869565217391,0.7217391304347827,0.9826086956521739,0.991304347826087,0.5130434782608696,0.4956521739130435,0.7730434782608697,0.8928695652173914,0.8225187593781353,0.252991341825476,-0.049475281117265624,0.6871868763139858,0.7155631169428287,0.35330895727788286,-0.15152775745215988,-0.19353025960802972,-0.016143966588802953,subset_label_direction_jackpot
909,129,S4,6,129:S4,-1,"listener_dropout,route_frontier,route_toxicity_fusion",3,3,0.5020460841976871,0.5163090961761299,0.3406939518666263,0.5368177578959871,0.35636055951354956,0.0016086223687107196,0.0016086223687107196,0.60431654676259,-1,True,False,0.5624633080605482,0.5900616687029967,0.5279245579023593,0.11408252588522694,0.0780314018341237,-1,1.0,True,-1,-0.0016086223687107196,0.11408252588522694,-0.21733187478191424,-0.3177409177294843,1.2892885239257372,1.2494393456555688,-0.03984917827016843,0.07068016592381174,0.06987217671268357,-0.0008079892111281656,1.3161469869767857,1.2759907728063886,-0.04015621417039705,id06,0.9304347826086956,0.7217391304347827,0.808695652173913,0.9565217391304348,0.8434782608695652,0.8065158684201226,S,0.7692307692307693,0.896942120189294,0,0.896942120189294,-0.11394673412129651,0.11394673412129651,1.4620078994318133,0.5478260869565217,0.9217391304347826,0.9304347826086956,0.9565217391304348,0.8434782608695652,0.7652173913043478,0.24347826086956523,0.8058260869565218,0.9159999999999999,0.7823274166174816,0.19233048998925598,0.023498670339040184,0.6762056484034762,0.7133992844734329,-0.37630561391304346,-0.5501617801414076,-0.07069825265536078,-0.0010573871197883528,subset_label_direction_jackpot
1042,148,S4,6,148:S4,1,public_loss_tomography,1,1,0.6784574468085105,0.6784574468085105,0.10638297872340426,0.2170020446046002,0.2170020446046002,-0.06438345007939761,0.06438345007939761,0.9712230215827338,1,True,False,0.5006678283198825,0.6564602491858311,0.30028398734277434,0.3051778073140818,1.2911155338807838,-1,1.0,False,1,0.06438345007939761,0.3051778073140818,-0.29800000000000004,-0.07043752800823608,2.2674876347996795,2.2651297355526046,-0.0023578992470749682,0.1687985709327851,0.1686548984536269,-0.0001436724791581967,2.331631091754138,2.329218596964983,-0.002412494789155062,id06,0.991304347826087,0.7217391304347827,0.17391304347826086,0.591304347826087,0.6521739130434783,0.6707155481833551,S,0.9230769230769231,0.9974938621405658,0,0.9974938621405658,4.560600430969251,4.560600430969251,0.23636754365179888,0.9782608695652174,0.9652173913043478,0.991304347826087,0.591304347826087,0.6521739130434783,0.034782608695652174,0.9739130434782609,0.8724782608695653,0.9881739130434781,0.36999972231969125,0.6959198606016141,0.502478538549874,0.5442866798111582,0.6961984154008103,-0.43583692340264646,-0.10301770301744076,-0.003791297318315401,-0.00022556235572945837,subset_label_direction_jackpot
1061,151,S2,4,151:S2,1,public_loss_tomography,1,1,0.6446808510638298,0.6446808510638298,0.0851063829787234,0.217668613116836,0.217668613116836,-0.06309472319907664,0.06309472319907664,0.9640287769784173,1,True,False,0.478524211298606,0.6476688679753189,0.28871927434721334,0.27889942039911175,1.2781967999717894,-1,1.0,False,1,0.06309472319907664,0.27889942039911175,-0.29800000000000004,-0.06502287228443199,1.4702842370874012,1.4692361030645098,-0.0010481340228913893,0.1730170559147817,0.17295144946669888,-6.560644808281668e-05,1.5360307183350181,1.5349576538618555,-0.0010730644731626882,id06,0.9739130434782609,0.7217391304347827,0.17391304347826086,0.5391304347826087,0.591304347826087,0.6520421346773422,S,0.9230769230769231,0.9981439428441186,0,0.9981439428441186,4.4693134875304406,4.4693134875304406,0.21819755800144958,0.9782608695652174,0.9739130434782609,0.9739130434782609,0.5391304347826087,0.591304347826087,0.05217391304347826,0.9565217391304348,0.8666521739130435,0.9869565217391304,0.34954672972024625,0.7131857902963412,0.5171054441927972,0.5304335325401129,0.6892296372324476,-0.4325670472589792,-0.09438507338380689,-0.0016704689389779315,-0.00010201447668661823,subset_label_direction_jackpot
1054,150,S2,4,150:S2,1,public_loss_tomography,1,1,0.5904255319148936,0.5904255319148936,0.05319148936170213,0.2181246213021687,0.2181246213021687,-0.06367560505765317,0.06367560505765317,0.9676258992805755,1,True,False,0.4432263389581805,0.640374151390553,0.26729046063222794,0.28872099166040843,1.2879562604904027,-1,1.0,False,1,0.06367560505765317,0.28872099166040843,-0.29800000000000004,-0.06680262222728087,1.7971829663045822,1.7960318057499165,-0.0011511605546656867,0.17849888192038538,0.17840892534613859,-8.995657424679115e-05,1.8650125414343286,1.863827197381449,-0.0011853440528795112,id06,0.9826086956521739,0.7217391304347827,0.17391304347826086,0.5478260869565217,0.6347826086956522,0.6526553446680915,S,0.9230769230769231,0.997425887183088,0,0.997425887183088,4.510460242656166,4.510460242656166,0.22416987324590892,0.9782608695652174,0.9565217391304348,0.9826086956521739,0.5478260869565217,0.6347826086956522,0.043478260869565216,0.9652173913043478,0.8678695652173913,0.984695652173913,0.34645623943347476,0.71063892628154,0.5214133257839166,0.5309116283773008,0.6889917256690803,-0.43220194601134215,-0.09688665545399774,-0.001841643153244421,-0.00013959053307990854,subset_label_direction_jackpot
654,93,S1,3,93:S1,1,public_loss_tomography,1,1,0.5941489361702127,0.5941489361702127,0.06382978723404255,0.2135801883938399,0.2135801883938399,-0.07406131989085513,0.07406131989085513,0.9748201438848921,1,True,False,0.44666250917094646,0.6422033095636476,0.2689217693724697,0.2641775881039162,1.5161423189844925,-1,1.0,False,1,0.07406131989085513,0.2641775881039162,-0.29800000000000004,-0.05192449301705183,0.9121993964286478,0.9108038563870576,-0.0013955400415901487,0.07680579411477254,0.07663105484166215,-0.00017473927311038862,0.9413855981922613,0.9399236572268892,-0.0014619409653721105,id04,0.9652173913043478,0.7217391304347827,0.17391304347826086,0.5565217391304348,0.6608695652173913,0.65059643624996,S,0.9230769230769231,0.998429958276754,0,0.998429958276754,5.246132150356266,5.246132150356266,0.174243265157892,0.9782608695652174,0.9826086956521739,0.9652173913043478,0.5565217391304348,0.6608695652173913,0.02608695652173913,0.9826086956521739,0.864304347826087,0.987304347826087,0.3501322523844461,0.7104004988994864,0.5141720954416409,0.5322015010877541,0.6886897334396632,-0.4315990914177695,-0.0752032349278117,-0.0022709078389908655,-0.000271409772666209,subset_label_direction_jackpot
1403,200,S1,3,200:S1,1,"listener_dropout,public_loss_tomography,route_frontier,route_toxicity_fusion",4,6,0.6520019878411648,0.7305431633835457,0.616599697955804,0.8,0.5005801579853324,-0.0008385037179635339,0.0008385037179635339,0.40827338129496404,1,True,False,0.7568934571392085,0.620746218606768,0.7302309978948055,-0.07352595237450356,0.1295762424550617,1,1.0,True,1,-0.0008385037179635339,0.07352595237450356,0.14646898171487113,-0.08311146526451048,0.8199949710002574,0.7967332311511417,-0.023261739849115726,0.07640755771573948,0.08354240095754502,0.007134843241805536,0.8490298429322384,0.8284793435150088,-0.02055049941722953,id08,0.8782608695652174,0.7217391304347827,0.9434782608695652,0.9043478260869565,0.017391304347826087,0.7850159966205342,S,0.8076923076923077,0.5830316312566362,1,0.41696836874336385,-0.05939539451206731,0.05939539451206731,-0.5674338982317926,0.8434782608695652,0.391304347826087,0.8782608695652174,0.9043478260869565,0.017391304347826087,0.6347826086956522,0.3739130434782609,0.7791304347826087,0.825391304347826,0.7348792553779333,0.3957814807954689,0.04425117940467538,0.6257238576265726,0.6744299712614573,0.330681993194707,-0.1876401724735317,-0.02958448176020878,0.017925828815099826,subset_label_direction_jackpot
789,112,S3,5,112:S3,1,"listener_dropout,route_frontier,route_toxicity_fusion",3,3,0.4622262923811535,0.5087491986961834,0.35837071954339406,0.5175749935185845,0.3454399006604978,-0.0024643512943980867,0.0024643512943980867,0.8057553956834532,1,True,False,0.5531026028893422,0.6806830428750044,0.48231758369272154,-0.09397727765659648,0.0936691112846436,1,0.9615384615384616,True,1,-0.0024643512943980867,0.09397727765659648,0.17778192775526006,-0.17836682079976265,2.2701151337105965,2.2003126976555594,-0.06980243605503711,0.03245572569474915,0.03236677926288667,-8.894643186248274e-05,2.282448309474601,2.2126120737754564,-0.06983623569914466,id05,0.9043478260869565,0.3130434782608696,0.808695652173913,1.0,0.6173913043478261,0.6989311990709903,S,0.7692307692307693,0.1227302198976564,1,0.8772697801023436,-0.17456227588660936,0.17456227588660936,-1.0032899465760534,0.5478260869565217,0.8956521739130435,0.9043478260869565,1.0,0.6173913043478261,0.8608695652173913,0.14782608695652175,0.702086956521739,0.8871036789297659,0.7693718941425333,0.1925842093924094,-0.06728493762079424,0.6445924103424434,0.6601578451538497,0.32095548258833795,-0.32201140897934505,-0.1306259090410391,0.0002902265427957608,subset_label_direction_jackpot
668,95,S1,3,95:S1,1,"listener_dropout,route_toxicity_fusion",2,2,0.3227113131294596,0.3272683227114716,0.033465909090909046,0.2755621472445604,0.1503970587017767,0.0038423568544189734,0.0038423568544189734,0.8830935251798561,-1,False,True,0.3875703734658648,0.6338701138981524,0.3187601066537507,0.053136475942002145,0.11726811525698823,-1,1.0,False,1,-0.0038423568544189734,0.053136475942002145,-0.11084325786649636,-0.05022524743447037,0.5693268638211363,0.556487456499826,-0.012839407321310281,0.06271533650370825,0.0607805536022964,-0.0019347829014118509,0.5931586916925454,0.5795840668686987,-0.013574624823846748,id04,0.782608695652174,0.7217391304347827,0.5043478260869565,0.8521739130434782,0.9391304347826087,0.6847938684501905,S,0.7692307692307693,0.8848950677598506,0,0.8848950677598506,-0.27217327286113,0.27217327286113,0.45311955279195676,0.5478260869565217,0.9043478260869565,0.782608695652174,0.8521739130434782,0.9391304347826087,0.9304347826086956,0.0782608695652174,0.7350434782608696,0.8855652173913043,0.6095509057967771,0.24688285953192232,0.1254925724640925,0.5973880540690304,0.6489604314380732,-0.3344458900567108,-0.15154397213560475,-0.039579962311311445,-0.005667620274531875,subset_label_direction_jackpot
