feature_family,label_task,feature_count,positive_rate,auc,ap,ap_lift_vs_rate
listener_only,strict_jury_released,14,0.02761904761904762,0.7378391892855399,0.10759070029548987,0.07997165267644224
listener_only,strict_positive_release,14,0.014603174603174604,0.7432958174585389,0.05425828215271017,0.039655107549535565
listener_only,healthy_action,14,0.5,0.487963920382968,0.4863009429648121,-0.013699057035187923
listener_only,toxic_tail_action,14,0.4033333333333333,0.6431585577272293,0.48385258044809165,0.08051924711475833
action_geometry_only,strict_jury_released,12,0.02761904761904762,0.74411168150825,0.06567320460615074,0.03805415698710312
action_geometry_only,strict_positive_release,12,0.014603174603174604,0.7295582838413267,0.029154785821416583,0.014551611218241979
action_geometry_only,healthy_action,12,0.5,0.5614442932728646,0.5479038956121767,0.04790389561217667
action_geometry_only,toxic_tail_action,12,0.4033333333333333,0.6996764108786165,0.5411859523940707,0.13785261906073742
open_loop_human_state_listener,strict_jury_released,128,0.02761904761904762,0.7111989222496163,0.08983592820025263,0.06221688058120501
open_loop_human_state_listener,strict_positive_release,128,0.014603174603174604,0.6604416461228149,0.036190578008566524,0.02158740340539192
open_loop_human_state_listener,healthy_action,128,0.5,0.48488712522045857,0.485687144971782,-0.014312855028217997
open_loop_human_state_listener,toxic_tail_action,128,0.4033333333333333,0.6435231556032543,0.485838770518726,0.08250543718539266
masked_pretext_prediction_listener,strict_jury_released,48,0.02761904761904762,0.691682990532158,0.0920085034714922,0.06438945585244457
masked_pretext_prediction_listener,strict_positive_release,48,0.014603174603174604,0.611805244285074,0.03068881803441619,0.016085643431241584
masked_pretext_prediction_listener,healthy_action,48,0.5,0.5265112118921642,0.5254668017955161,0.02546680179551608
masked_pretext_prediction_listener,toxic_tail_action,48,0.4033333333333333,0.6599143035332544,0.5170959078587613,0.11376257452542793
masked_pretext_residual_listener,strict_jury_released,48,0.02761904761904762,0.6985906124639281,0.0729185913606424,0.045299543741594776
masked_pretext_residual_listener,strict_positive_release,48,0.014603174603174604,0.6894259861048857,0.036778063396454355,0.02217488879327975
masked_pretext_residual_listener,healthy_action,48,0.5,0.5398871756109851,0.5303062141259784,0.030306214125978448
masked_pretext_residual_listener,toxic_tail_action,48,0.4033333333333333,0.6642375496761335,0.5163135404667363,0.11298020713340295
masked_pretext_full_listener,strict_jury_released,68,0.02761904761904762,0.689366690308127,0.06999233250855091,0.042373284889503295
masked_pretext_full_listener,strict_positive_release,68,0.014603174603174604,0.6304120209547288,0.028739124499550434,0.01413594989637583
masked_pretext_full_listener,healthy_action,68,0.5,0.5262279667422524,0.526933672895717,0.02693367289571702
masked_pretext_full_listener,toxic_tail_action,68,0.4033333333333333,0.664108775695513,0.5161442712142041,0.11281093788087082
human_plus_masked_pretext_listener,strict_jury_released,182,0.02761904761904762,0.7241191679706996,0.07883935920711481,0.05122031158806719
human_plus_masked_pretext_listener,strict_positive_release,182,0.014603174603174604,0.6371135771515015,0.030510926589220878,0.015907751986046274
human_plus_masked_pretext_listener,healthy_action,182,0.5,0.5289628621819098,0.5235737619501973,0.023573761950197336
human_plus_masked_pretext_listener,toxic_tail_action,182,0.4033333333333333,0.6595197630893779,0.5150093769624993,0.11167604362916594
