model,feature,family,coef_per_unit,coef,scale,n_cells
bundle_all,row_decile=5|target=Q1,row_order_target,-0.0021146287445232177,-0.00011951748639462124,0.05651937093173709,25
bundle_all,subject=id08|target=Q2,subject_target,0.0007701033529589179,4.333889291470103e-05,0.05627672279075637,19
bundle_all,subject=id10|target=Q1,subject_target,0.0007261451025965033,5.032754744345522e-05,0.06930783842443775,22
bundle_all,month_start|target=S4,human_social_date_target,-0.0006714950623392916,-4.823984493829127e-05,0.07183946337630215,15
bundle_plus_bad,row_decile=5|target=Q1,row_order_target,-0.0005383572863058655,-3.785938118359463e-05,0.0703238948308484,25
bundle_all,row_decile=7|target=Q2,row_order_target,0.0005190519071923091,6.1009299220502256e-05,0.11753988064607625,25
bundle_plus_bad,subject=id08|target=Q2,subject_target,0.0004606878061779145,3.531410033174841e-05,0.07665516616280993,19
bundle_plus_bad,month_start|target=S4,human_social_date_target,-0.0004535247410702486,-3.9432901345056465e-05,0.0869476299176113,15
bundle_all,row_decile=8|target=Q2,row_order_target,-0.00041896574251463727,-3.258356832132194e-05,0.07777143812702915,25
bundle_all,friday|target=Q2,human_social_date_target,0.00036529815696738604,3.4066892234293795e-05,0.0932577719994774,36
bundle_frontier,subject=id03|target=Q2,subject_target,-0.00034232692819127796,-4.389302179592272e-06,0.012821959998249723,21
bundle_plus_bad,row_decile=7|target=Q2,row_order_target,0.0003413305387219164,4.672731083440306e-05,0.13689753928660928,25
bundle_all,month_start|target=Q2,human_social_date_target,0.0003360681903996307,3.315169086907481e-05,0.09864572671889281,15
bundle_all,subject=id01|target=Q2,subject_target,0.00032543759044328333,3.727775049929555e-05,0.11454654162267788,27
bundle_all,monday|target=Q3,human_social_date_target,-0.0002940951196206975,-5.263595743398988e-05,0.17897596363338472,37
bundle_all,row_decile=5|target=Q3,row_order_target,0.0002829660098143817,5.592776519999008e-05,0.19764835089796556,25
bundle_plus_bad,subject=id09|target=Q2,subject_target,-0.0002721758524397492,-3.623976992440044e-05,0.1331483656597447,27
bundle_all,month_end|target=S4,human_social_date_target,-0.00027205938444449507,-4.4001677664086624e-05,0.16173556282181378,19
bundle_all,row_decile=7|target=S4,row_order_target,-0.0002709523190850518,-6.409966769335266e-05,0.23657176255144657,25
bundle_plus_bad,row_decile=8|target=Q2,row_order_target,-0.0002684074761856799,-2.650258188935042e-05,0.09874010316693403,25
bundle_all,subject=id03|target=Q2,subject_target,-0.0002646910192208511,-3.0726360247363214e-05,0.11608387899903005,21
bundle_all,baseq=2|target=Q1,base_prob_target,-0.00025406626813528454,-3.097080063193817e-05,0.12190048233969776,50
bundle_plus_bad,subject=id05|target=Q2,subject_target,-0.00023969319540004486,-1.677316120989409e-05,0.06997762778329981,21
bundle_all,subject=id09|target=Q2,subject_target,-0.00023451215344995314,-3.150461987961432e-05,0.13434109668153157,27
bundle_plus_bad,month_end|target=S4,human_social_date_target,-0.00023019871157775885,-3.2639492357818534e-05,0.14178833640775282,19
bundle_all,row_decile=0|target=Q2,row_order_target,0.00022402944852829056,2.8458782875740808e-05,0.1270314374413461,24
bundle_plus_bad,row_decile=1|target=Q2,row_order_target,0.0002223501547354888,3.2349870093925e-05,0.14549065698833855,25
bundle_all,row_decile=1|target=Q2,row_order_target,0.00022163312581354488,3.013884451713998e-05,0.1359852883295755,25
bundle_all,subject=id04|target=S4,subject_target,-0.00021550883249092114,-3.6718919552345466e-05,0.1703824345755868,27
bundle_all,row_decile=1|target=S4,row_order_target,0.00021351165582364221,8.105787029370197e-05,0.3796414297899253,25
bundle_all,month_end|target=Q2,human_social_date_target,0.00021319613475311649,1.2070314002884485e-05,0.056616007681668544,19
bundle_all,row_decile=0|target=S2,row_order_target,-0.0002124862332106808,-7.109318113696736e-05,0.33457782211461307,24
bundle_all,row_decile=0|target=S1,row_order_target,-0.00021214415041050688,-3.185479354227024e-05,0.15015636057195084,24
bundle_frontier,pay10_window|target=Q3,human_social_date_target,0.00021048121296658747,1.686938876199428e-05,0.08014676713532712,27
bundle_plus_bad,row_decile=0|target=S1,row_order_target,-0.00020222300913311187,-4.023932825852544e-05,0.19898491487701178,24
bundle_all,subject=id07|target=S2,subject_target,-0.0001938574336879028,-3.235626880756858e-05,0.16690754742817834,30
bundle_frontier,row_decile=5|target=Q1,row_order_target,-0.00019163419338951912,-1.0791400363907023e-05,0.05631249921026477,25
bundle_all,baseq=2|target=S1,base_prob_target,0.0001828925854248964,5.7783999757010074e-05,0.31594501014224374,50
bundle_plus_bad,subject=id03|target=Q2,subject_target,-0.00018100641623365043,-2.01040297666881e-05,0.11106805043163222,21
bundle_plus_bad,month_start|target=Q2,human_social_date_target,0.00018055182379977548,2.3038477570935772e-05,0.12760035919927618,15
bundle_all,month_start|Q,human_social_date,0.0001804256056122762,2.589128540790302e-05,0.143501169471155,45
bundle_plus_bad,row_decile=9|target=Q1,row_order_target,0.00018020153603568175,1.2540275044445481e-05,0.06959027830907268,26
bundle_plus_bad,row_decile=3|target=S2,row_order_target,0.00017832730795223664,3.052578720970921e-05,0.17117842219591667,25
bundle_plus_bad,subject=id01|target=Q2,subject_target,0.00017126170350248435,2.6043208145459765e-05,0.15206673536960338,27
bundle_plus_bad,month_end|target=Q2,human_social_date_target,0.00017122962933177854,1.1868430053156793e-05,0.06931294600983014,19
bundle_plus_bad,subject=id10|target=Q1,subject_target,0.0001684557801753477,1.4980536240794589e-05,0.08892859731616906,22
bundle_all,row_decile=0|target=S4,row_order_target,-0.00016773327048155102,-3.4304413243312435e-05,0.20451764366620143,24
bundle_plus_bad,subject=id04|target=S4,subject_target,-0.00016512491349919594,-3.239714721602475e-05,0.19619781491169416,27
bundle_all,pay25_window|Q,human_social_date,0.00016362137364118215,3.738658500128427e-05,0.22849450636731714,57
bundle_plus_bad,monday|target=Q3,human_social_date_target,-0.00016039002505064111,-2.7647890205387474e-05,0.17237911270765127,37
bundle_frontier,row_decile=3|target=Q2,row_order_target,0.0001519609662683014,7.5052198925173875e-06,0.049389129832632245,25
bundle_all,row_decile=9|target=S1,row_order_target,0.00015153439969195132,4.868496668428541e-05,0.32127996536268516,26
bundle_plus_bad,friday|target=Q2,human_social_date_target,0.00015127522146920387,1.5907757850158674e-05,0.10515772309344876,36
bundle_all,subject=id05|target=S1,subject_target,0.0001449258775966301,2.862685196071057e-05,0.19752753914926935,21
bundle_all,row_decile=6|target=S4,row_order_target,0.0001440588153001313,4.866763297187758e-05,0.33783168958097926,25
bundle_frontier,baseq=3|target=Q1,base_prob_target,-0.00014397795985146176,-1.1107305118718928e-05,0.07714587100816014,50
bundle_all,monday|target=S4,human_social_date_target,0.00014319141437487624,6.813932718245465e-05,0.47586182090544454,37
bundle_plus_bad,row_decile=0|target=S4,row_order_target,-0.0001428573899548894,-2.5634524298446816e-05,0.17944135971223837,24
bundle_all,baseq=3|target=Q2,base_prob_target,0.00013859551391035512,2.955069021387519e-05,0.21321534427866728,50
bundle_all,row_decile=3|target=S4,row_order_target,-0.0001334389358325511,-4.304463819695507e-05,0.3225792976269731,25
bundle_plus_bad,month=11|S,month_group,-0.00013333306728046743,-2.639610982121983e-05,0.19797121869022447,36
bundle_plus_bad,row_decile=3|target=S4,row_order_target,-0.0001315833065939202,-3.571149980413496e-05,0.2713984070513167,25
bundle_all,row_decile=4|target=S4,row_order_target,-0.00013012611008784237,-6.008156912726005e-05,0.4617180140611415,25
bundle_plus_bad,row_decile=0|target=Q2,row_order_target,0.00012842898699096504,2.058921184860962e-05,0.1603159250182209,24
bundle_frontier,row_decile=6|target=S1,row_order_target,0.00012775104164869586,1.254999774907646e-05,0.09823792892106392,25
bundle_frontier,subject=id06|target=Q1,subject_target,-0.00012154199775051706,-8.956016086356609e-06,0.07368659600889692,24
bundle_frontier,subject=id07|target=S4,subject_target,-0.00011945095273681894,-1.0856735629485818e-05,0.09088864827563149,30
bundle_frontier,row_decile=2|target=Q2,row_order_target,0.00011757288568846664,6.984750411444233e-06,0.05940783345193853,25
bundle_all,pay25_window|target=Q3,human_social_date_target,0.0001150116040960959,2.255444482911589e-05,0.19610581911605132,19
bundle_all,baseq=2|target=Q2,base_prob_target,0.00011434352957512472,1.9033042815687528e-05,0.166454917793863,50
bundle_frontier,month_start|Q,human_social_date,0.00011162170265980849,6.116825537614423e-06,0.0547996078885912,45
bundle_frontier,pay25_window|target=S4,human_social_date_target,-0.00010810785334134033,-1.1651349509042844e-05,0.10777523694097237,19
bundle_plus_bad,baseq=2|target=Q1,base_prob_target,0.00010709784704197972,8.701785272123404e-06,0.0812507955338497,50
bundle_all,subject=id01|target=S2,subject_target,-0.00010699792931143718,-6.03162285142395e-05,0.5637139793488715,27
